index,Ano,Chuva_Anahy,Chuva_Arapuã,Chuva_Ariranha do Ivaí,Chuva_Boa Esperança,Chuva_Boa Vista da Aparecida,Chuva_Campina da Lagoa,Chuva_Campo Mourão,Chuva_Capanema,Chuva_Capitão Leônidas Marques,Chuva_Céu Azul,Chuva_Corumbataí do Sul,Chuva_Cruzmaltina,Chuva_Diamante D'Oeste,Chuva_Entre Rios do Oeste,Chuva_Foz do Iguaçu,Chuva_Grandes Rios,Chuva_Iguatu,Chuva_Iracema do Oeste,Chuva_Itaipulândia,Chuva_Ivaiporã,Chuva_Juranda,Chuva_Lidianópolis,Chuva_Luiziana,Chuva_Manoel Ribas,Chuva_Marechal Cândido Rondon,Chuva_Marilândia do Sul,Chuva_Matelândia,Chuva_Medianeira,Chuva_Mercedes,Chuva_Missal,Chuva_Nova Aurora,Chuva_Ouro Verde do Oeste,Chuva_Pato Bragado,Chuva_Planalto,Chuva_Ramilândia,Chuva_Realeza,Chuva_Rio Branco do Ivaí,Chuva_Rosário do Ivaí,Chuva_Santa Helena,Chuva_Santa Lúcia,Chuva_Santa Terezinha de Itaipu,Chuva_São José das Palmeiras,Chuva_São Miguel do Iguaçu,Chuva_São Pedro do Iguaçu,Chuva_Serranópolis do Iguaçu,Chuva_Tupãssi,Chuva_Ubiratã,Chuva_Vera Cruz do Oeste
0,1991,76.96156926500001,44.19384388500001,59.932240065,66.689038425,73.335970145,81.57596814499999,51.99437532499999,58.174373825,80.14770182499998,53.093041725000006,47.791976344999995,62.074639545,113.162627145,115.46982658499999,80.806901665,54.02690816500001,100.473030225,69.710371025,96.407964545,70.36957086499999,64.766372225,58.943440304999996,67.18343830500001,70.36957086499999,72.731703625,73.226103505,60.426639945000005,92.068232265,85.58610050499999,104.428229265,69.161037825,90.42023266499999,92.947165385,97.671430905,100.912496785,100.253296945,87.23410010500001,63.997305745000006,117.227692825,71.30343730499999,80.806901665,117.337559465,71.138637345,112.833027225,76.24743610499999,68.06237142500001,86.080500385,102.615429705
1,1992,97.726364225,82.235167985,85.311433905,102.999962945,134.037288745,95.41916478499999,63.667705824999985,130.631422905,135.135955145,114.700760105,75.862902865,78.93916878499999,143.156219865,109.811694625,88.55249978500001,94.04583178499999,80.69703502499999,111.130094305,127.225557065,87.508766705,93.99089846499999,80.20263514499999,108.383428305,94.705031625,98.110897465,66.35943850499999,134.037288745,155.241550265,113.821826985,125.357824185,105.801562265,122.830891465,87.78343330499999,116.458626345,171.391946345,113.272493785,87.508766705,82.564767905,114.481026825,136.674088105,88.55249978500001,128.543956745,114.700760105,194.903407305,129.422889865,93.55143190499999,82.509834585,160.29541570499998
2,1993,98.165830785,74.544503185,52.104241965,71.413303945,148.75941850499999,100.74769682499999,87.014366825,99.099697225,148.979151785,133.487955545,69.600504385,79.982901865,118.326359225,100.637830185,89.815966145,75.148769705,91.134365825,88.332766505,117.447426105,62.45917278499999,76.24743610499999,73.610636745,99.42929714499999,75.148769705,109.646894665,76.357302745,136.344488185,104.31836262499999,97.561564265,108.053828385,104.977562465,101.297030025,100.253296945,105.471962345,114.041560265,102.175963145,57.02077410499999,63.72263914499999,109.921561265,150.956751305,89.815966145,108.383428305,127.005823785,124.478891065,102.395696425,78.88423546499999,111.185027625,120.963158585
3,1994,95.30929814499999,70.644237465,97.726364225,84.54236742500001,60.97597314500001,103.549296145,69.49063774499999,85.366367225,62.349306144999986,100.582896865,74.87410310499999,76.96156926500001,63.72263914499999,69.710371025,74.81916978499999,75.36850298499999,102.175963145,70.204770905,78.719435505,81.356234865,89.04689966500001,99.539163785,81.301301545,87.28903342499999,55.290374525000004,71.907703825,77.07143590499999,69.54557106499999,56.47144090500001,60.811173185,86.79463354500001,67.18343830500001,67.567971545,80.477301745,60.811173185,72.56690366499998,104.428229265,98.879963945,69.10610450499999,75.20370302500001,74.81916978499999,71.68797054499998,69.49063774499999,65.315705425,60.756239865,74.76423646500001,79.598368625,64.326905665
4,1995,77.56583578499999,54.63117468499999,51.00557556499999,81.96050138499999,46.61090996499999,95.36423146499999,66.24957186500001,78.38983558499999,43.28744410499999,54.493841384999996,65.48050538499999,86.080500385,55.31784118499999,80.422368425,61.305573065000004,97.177031025,93.88103182500001,73.50077010499999,54.933307944999996,47.627176384999984,63.72263914499999,56.19677430499999,67.73277150499999,52.928241764999996,98.165830785,89.321566265,58.558907065,53.971974845000005,97.506630945,54.87837462499999,60.316773305,83.883167585,83.498634345,107.284761905,52.46130854500001,68.22717138499999,55.207974544999985,53.614908265,73.83037002500001,45.29251028499999,61.305573065000004,76.57703602499998,57.07570742499999,52.65357516500001,61.305573065000004,108.987694825,78.225035625,53.01064174499999
5,1996,82.78450118500001,46.19891006500001,63.17330594500001,50.758375624999985,147.660752105,78.499702225,66.41437182499999,175.237278745,134.586621945,90.31036602500001,46.55597664499999,62.40423946499999,83.66343430500001,83.443701025,100.253296945,70.094904265,68.721571265,58.88850698499999,68.06237142500001,56.03197434500001,47.791976344999995,68.61170462499999,62.23943950500001,54.90584128500001,59.932240065,58.22930714500001,99.099697225,90.42023266499999,53.175441705,72.23730374499999,58.22930714500001,69.710371025,73.99516998499999,190.508741705,69.765304345,153.593550665,108.32849498499999,84.26770082499999,91.573832385,145.353552665,100.253296945,72.95143690500001,101.242096705,60.97597314500001,81.685834785,57.185574065,58.66877370500001,69.161037825
6,1997,83.993034225,85.03676730500001,103.769029425,96.078364625,128.983423305,89.376499585,92.72743210499999,131.510356025,136.124754905,99.594097105,94.75996494500001,86.30023366500001,119.974358825,127.994623545,172.82021266499999,67.018638345,90.42023266499999,98.495430705,116.34875970499999,126.566357225,99.264497185,98.220764105,97.946097505,97.012231065,101.736496585,129.64262314500002,124.698624345,110.251161185,98.879963945,106.131162185,88.66236642499999,105.417029025,120.523692025,134.696488585,125.357824185,103.494362825,75.038903065,62.84370602499999,122.171691625,158.317816185,172.82021266499999,125.577557465,126.346623945,96.13329794500001,105.856495585,101.846363225,75.64316958500001,123.70982458499999
7,1998,95.41916478499999,94.92476490499999,78.994102105,73.44583678500001,82.180234665,98.495430705,90.91463254499999,149.748218265,86.95943350499999,123.92955786499999,68.721571265,75.36850298499999,128.653823385,104.922629145,175.896478585,65.645305345,101.846363225,69.710371025,131.40048938500001,91.35409910499999,70.80903742499999,61.41543970500001,78.170102305,106.570628745,88.058099905,72.95143690500001,113.821826985,134.037288745,91.73863234499998,125.467690825,93.221831985,97.506630945,89.706099505,153.373817385,123.49009130499999,84.817034025,77.236235865,79.37863534499999,114.700760105,101.132230065,175.896478585,113.272493785,140.73915378499998,101.187163385,109.701827985,72.07250378500001,92.068232265,138.212221065
8,1999,78.994102105,80.861834985,73.335970145,85.256500585,78.994102105,93.44156526500001,66.689038425,73.39090346500001,69.325837785,108.658094905,70.80903742499999,83.22396774500001,60.48157326500001,76.412236065,87.893299945,66.79890506499999,109.097561465,85.03676730500001,76.19250278499999,87.23410010500001,72.017570465,102.945029625,59.437840185,88.55249978500001,84.70716738499999,118.326359225,83.22396774500001,106.680495385,95.80369802499999,66.524238465,81.96050138499999,70.42450418499999,81.685834785,73.83037002500001,64.381838985,52.790908465,73.83037002500001,78.170102305,68.391971345,97.891164185,87.893299945,62.569039425,75.862902865,62.01970622499999,68.721571265,68.06237142500001,106.955161985,70.31463754500001
9,2000,93.00209870500001,68.337038025,67.73277150499999,94.81489826500001,100.198363625,66.084771905,67.513038225,132.389289145,93.826098505,95.25436482500001,74.544503185,72.292237065,72.07250378500001,68.11730474499998,84.26770082499999,89.04689966500001,68.721571265,69.765304345,57.51517398499999,68.446904665,86.35516698500001,85.641033825,76.57703602499998,79.158902065,78.33490226500001,70.86397074499999,75.69810290499998,66.194638545,78.93916878499999,62.953572664999996,78.115168985,80.53223506500001,73.94023666499999,136.014888265,72.51197034500001,94.210631745,77.730635745,73.50077010499999,62.45917278499999,103.494362825,84.26770082499999,71.523170585,73.335970145,87.23410010500001,58.064507185,81.301301545,62.45917278499999,96.29809790499999
