Municipio,latitude,longitude
Abatiá,"-23,30717869","-50,30966581"
Adrianópolis,"-24,78346897","-48,82123339"
Agudos Do Sul,"-26,02783973","-49,31129582"
Almirante Tamandaré,"-25,29650549","-49,32372664"
Altamira Do Paraná,"-24,81332847","-52,69240638"
Altônia,"-23,90258872","-53,94885636"
Alto Paraná,"-23,07611772","-52,32358045"
Alto Piquiri,"-24,09829122","-53,40198302"
Alvorada Do Sul,"-22,8106296","-51,25500396"
Amaporã,"-23,12870838","-52,83481929"
Ampére,"-25,91668752","-53,48323706"
Anahy,"-24,64418139","-53,14382052"
Andirá,"-23,01786909","-50,27153922"
Ângulo,"-23,19158578","-51,91831741"
Antonina,"-25,30518317","-48,72240257"
Antônio Olinto,"-25,95998884","-50,12849818"
Apucarana,"-23,57219064","-51,4462288"
Arapongas,"-23,44079603","-51,42821593"
Arapoti,"-24,09246237","-49,975629"
Arapuã,"-24,34403028","-51,81534974"
Araruna,"-23,95514129","-52,57665416"
Araucária,"-25,60855792","-49,44150171"
Ariranha Do Ivaí,"-24,37710414","-51,54082732"
Assaí,"-23,40548958","-50,87557696"
Assis Chateaubriand,"-24,42592471","-53,58457093"
Astorga,"-23,24998492","-51,69970462"
Atalaia,"-23,12867","-52,06493155"
Balsa Nova,"-25,52184639","-49,68867872"
Bandeirantes,"-23,16087049","-50,34644326"
Barbosa Ferraz,"-24,08221812","-52,04668903"
Barracão,"-26,24602182","-53,52845157"
Barra Do Jacaré,"-23,1057411","-50,15921738"
Bela Vista Da Caroba,"-25,88105273","-53,63420284"
Bela Vista Do Paraíso,"-23,00509624","-51,23574333"
Bituruna,"-26,17096851","-51,52744467"
Boa Esperança,"-24,25681041","-52,75112995"
Boa Esperança Do Iguaçu,"-25,64012351","-53,22603943"
Boa Ventura De São Roque,"-24,85665115","-51,56852771"
Boa Vista Da Aparecida,"-25,43481481","-53,42232562"
Bocaiúva Do Sul,"-25,11640816","-48,9365931"
Bom Jesus Do Sul,"-26,16240508","-53,55257143"
Bom Sucesso,"-23,71302883","-51,82428024"
Bom Sucesso Do Sul,"-26,0860692","-52,83881566"
Borrazópolis,"-23,93911611","-51,59200617"
Braganey,"-24,80142289","-53,09047598"
Brasilândia Do Sul,"-24,16612606","-53,54176592"
Cafeara,"-22,81299182","-51,71131484"
Cafelândia,"-24,69245716","-53,36395661"
Cafezal Do Sul,"-23,93929193","-53,56177773"
Califórnia,"-23,66878107","-51,33381533"
Cambará,"-22,99703381","-50,08289704"
Cambé,"-23,17973365","-51,28431543"
Cambira,"-23,63033254","-51,56739601"
Campina Da Lagoa,"-24,61660998","-52,78832742"
Campina Do Simão,"-25,13081252","-51,78203269"
Campina Grande Do Sul,"-25,18640157","-48,84431025"
Campo Bonito,"-24,93112674","-53,01393125"
Campo Do Tenente,"-25,97783109","-49,65652153"
Campo Largo,"-25,29233485","-49,61870765"
Campo Magro,"-25,28961099","-49,46274767"
Campo Mourão,"-24,10249497","-52,3806837"
Cândido De Abreu,"-24,64541823","-51,25332239"
Candói,"-25,52435369","-52,02086884"
Cantagalo,"-25,28724764","-52,13139423"
Capanema,"-25,61074064","-53,76316413"
Capitão Leônidas Marques,"-25,47029641","-53,59297618"
Carambeí,"-24,89356721","-50,15167017"
Carlópolis,"-23,45973772","-49,71279233"
Cascavel,"-25,02937099","-53,3797127"
Castro,"-24,79960073","-49,84169783"
Catanduvas,"-25,24171806","-53,15603866"
Centenário Do Sul,"-22,80540573","-51,56062817"
Cerro Azul,"-24,87539518","-49,27968251"
Céu Azul,"-25,24626475","-53,76178391"
Chopinzinho,"-25,81200568","-52,45099172"
Cianorte,"-23,72741052","-52,62701682"
Cidade Gaúcha,"-23,38286374","-52,95848275"
Clevelândia,"-26,34463312","-52,3578099"
Colombo,"-25,30626564","-49,1884183"
Colorado,"-22,83611831","-51,97178751"
Congonhinhas,"-23,60566587","-50,50383945"
Conselheiro Mairinck,"-23,59739918","-50,12968238"
Contenda,"-25,71909964","-49,52615107"
Corbélia,"-24,74258283","-53,23703001"
Cornélio Procópio,"-23,22580101","-50,62353223"
Coronel Domingos Soares,"-26,18229104","-51,92515986"
Coronel Vivida,"-25,99252549","-52,56431934"
Corumbataí Do Sul,"-24,12374762","-52,14214801"
Cruzeiro Do Iguaçu,"-25,5954119","-53,12969979"
Cruzeiro Do Oeste,"-23,75888092","-53,08330867"
Cruzeiro Do Sul,"-22,9880431","-52,16265335"
Cruz Machado,"-25,9223456","-51,23216609"
Cruzmaltina,"-24,01989452","-51,47542618"
Curitiba,"-25,47790486","-49,28825077"
Curiúva,"-24,01319704","-50,46565676"
Diamante Do Norte,"-22,63503823","-52,89274804"
Diamante Do Sul,"-24,99049971","-52,70410853"
Diamante D'oeste,"-24,95420993","-54,10033095"
Dois Vizinhos,"-25,7501727","-53,07538686"
Douradina,"-23,34758333","-53,29000063"
Doutor Camargo,"-23,561191","-52,21482526"
Enéas Marques,"-25,90661858","-53,15375516"
Engenheiro Beltrão,"-23,75985926","-52,26975323"
Esperança Nova,"-23,71442476","-53,79871128"
Entre Rios Do Oeste,"-24,71291883","-54,22245871"
Espigão Alto Do Iguaçu,"-25,35269624","-52,78713935"
Farol,"-24,12332461","-52,62880334"
Faxinal,"-24,00332414","-51,28485129"
Fazenda Rio Grande,"-25,67643029","-49,29747317"
Fênix,"-23,90105482","-52,02974966"
Fernandes Pinheiro,"-25,51665639","-50,51027651"
Figueira,"-23,87626268","-50,43031338"
Floraí,"-23,33277624","-52,34845517"
Flor Da Serra Do Sul,"-26,23813357","-53,28663368"
Floresta,"-23,60717925","-52,09001916"
Florestópolis,"-22,89313464","-51,40256182"
Flórida,"-23,10564364","-51,95654143"
Formosa Do Oeste,"-24,2925766","-53,33160174"
